,,electronic,94,Бытовая техника,,центроид,,"shop=electronics
shop=electrical",приемлемо
,,books,95,Книжный магазин,,центроид,,shop=books,
,,clothes,93,Одежда и обувь,,центроид,,"shop=shoes
shop=clothes",
,,shop_sport,97,Спорттовары,,центроид,,shop=sports,
,,library,48,Библиотека,,центроид,,amenity=library,
,,museum,50,Музей,,центроид,,tourism=museum,все масштабы музеев вместе
,,theatre,51,Театр,,центроид,,amenity=theatre,театральные студии и цирк тоже здесь
,,community_centre,49,Дворец культуры,,центроид,,amenity=community_centre,большое количество подростко-молодежных центров и центров творчества
,,cinema,56,Кинотеатр,,центроид,,amenity=cinema,
,,pitch,,Спортивная площадка,,центроид,,leisure=pitch,
,,ice_rink,60,Ледовая арена,,центроид,,leisure=ice_rink,все места где заливают каток - НЕ АРЕНЫ
,,playground,,Детская площадка,,центроид,,leisure=playground,
,,skateboard,,Скейт-парк,,,полигон,sport=skateboard,"не все места, отмечены элементы"
,,golf,,Поле для гольфа,,,полигон,leisure=golf_course,
,,theme_park,,Парк аттракционов,,,полигон,tourism=theme_park,попадают аттракционы в торговых центрах
,,water_park,58,Аквапарк,,,полигон,leisure=water_park,мало
,,stable,,Конюшня,,центроид,,building=stable,
,,prison,,Исправительная колония,,центроид,,amenity=prison,и следственные изоляторы
,,police,78,Полицейский участок,,центроид,,amenity=police,и фсб и гибдд
,,fire_station,79,Пожарная станция,,центроид,,amenity=fire_station,
,,post_office,98,Почтовое отделение,,центроид,,amenity=post_office,очень много СДЕКа
,,outpost,99,Пункт выдачи,,центроид,,shop=outpost,
,,bank,100,Отделение банка,,центроид,,amenity=bank,
,,lawyer,102,Юридические услуги,,центроид,,office=lawyer,"Адвокаты, юристы, нотариусы вместе"
,,household,,Бытовые услуги,,центроид,,"shop=dry_cleaning
shop=laundry
shop=shoe_repair
craft=tailor, shop=tailor",
,,hairdresser,104,Парикмахерская,,центроид,,shop=hairdresser,
,,beauty,105,Салон красоты,,центроид,,shop=beauty,
,,public_bath,106,Общественная баня,,центроид,,amenity=public_bath,нет данных
,,hotel,110,Гостиница,,центроид,,tourism=hotel,
,,hostel,111,Хостел,,центроид,,tourism=hostel,
,,camp,112,База отдыха,,центроид,,leisure=resort,вместе с санаториями
,,religion,114,Религиозный объект,,центроид,,amenity=place_of_worship,все виды религии
,,monastery,,Монастырь,,центроид,,amenity=monastery,
,Этап 4,landfill,,Полигон ТБО,,,полигон,landuse=landfill,"очень много стихийных свалок и контейнерных площадок, НЕ ПОЛИГОНЫ ТБО"
,,warehouse,,Склад,,центроид,,warehouse=*,и большие и маленькие
,,farmland,,сельскохозяйственное поле,,,полигон,landuse=farmland,попадают ботанические сады и маленькие огороды
,,engineering,,объект машиностроения,,,полигон,,
,,metallurgy,,объект металлургии,,,полигон,,
,,chemical,,объект химической промышленности,,,полигон,,
,,food_industry,,объект пищевой промышленности,,,полигон,,
,,light_industry,,объект легкой промышленности,,,полигон,landuse=industrial,"без классификации, геометрия накладывается, попадают склады и транспортные депо"
,,energy,,объект энергетики и топливной промышленности,,,полигон,man_made = works,
,,construction,,объект строительной промышленности,,,полигон,,
,,woodworking,,объект деревообрабатывающей и целлюлозно-бумажной промышленности,,,полигон,,
,,electronics_industry,,объект электроники и высоких технологий,,,полигон,,
,,agricultural_services,,объект сельскохозяйственных сервисов,,,полигон,,
,,extractive,,объект добывающей промышленности,,,полигон,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Этап 3 - 105 сервисов,,,,,,,
,,Этап 4 - 14 сервисов,,,,,,,
,,ИТОГ 119 сервисов,,,,,,,
