,connectivity,diversity,density,services_centrality
0,0.051036682615629984,2.5723228345600204,0.00011197040446444753,0.5958520449497443
1,0.04900459418070444,0.0,0.0,0.2717130186969204
2,0.01606425702811245,0.0,0.0,0.0505356845350968
3,0.022377622377622378,0.0,0.0,0.09292666891165953
4,0.01883460859329017,0.0,0.0,0.06913716305180437
5,0.013136288998357963,0.0,0.0,0.030875892944858457
6,0.014096916299559472,0.0,0.0,0.037326008637924395
7,0.011860637509266123,0.0,0.0,0.02231055269439618
8,0.01419698314108252,0.0,0.0,0.03799790574521677
9,0.014967259120673527,0.0,0.0,0.04316991072335707
10,0.038027332144979206,0.0,0.0,0.19800637925936826
11,0.034519956850053934,0.0,1.8189799649494155e-06,0.17494466961592137
12,0.03391626921038686,0.6931471805599453,3.904822289245223e-06,0.24701543477346388
13,0.03764705882352941,0.0,9.77612420891941e-07,0.19571558644255785
14,0.032225579053373615,0.0,2.185418437698836e-06,0.15963751897795025
15,0.028119507908611598,0.0,0.0,0.13148046175608433
16,0.03636363636363636,0.0,2.9003089675429395e-05,0.19462454294085715
17,0.03615819209039548,0.0,0.0,0.18545607011915402
18,0.03395225464190981,0.0,0.0,0.1706443405997006
19,0.03407880724174654,0.0,0.0,0.17149407588120283
20,0.03453858607663249,0.0,4.642700101190145e-06,0.17582808874814773
21,0.03749267721148213,0.0,0.0,0.19441644779207468
22,0.0326530612244898,0.0,0.0,0.16192092847145112
23,0.035184167124793844,0.0,0.0,0.17891599603609687
24,0.03349031920460492,0.0,0.0,0.1675426829541008
25,0.033862433862433865,0.0,0.0,0.1700412405019451
26,0.03253685815963396,0.0,0.0,0.16114068496674172
27,0.03140333660451423,0.0,0.0,0.15352967374317808
28,0.032803690415171706,0.0,0.0,0.16293232561312718
29,0.032470826991374935,0.0,0.0,0.16069731980932186
30,0.03669724770642202,0.0,7.335665820451207e-06,0.19104560390783262
31,0.033844526705446853,0.0,2.2808376743936233e-06,0.17053354111114324
32,0.035634743875278395,0.0,0.0,0.18194138597202314
33,0.034972677595628415,0.0,0.0,0.17749595318567726
34,0.02737382378100941,0.0,4.0681323532802e-06,0.1275661090987694
35,0.029250457038391225,0.0,0.0,0.13907420047340677
36,0.039119804400977995,0.0,8.897864589358921e-06,0.20773136113551313
37,0.040686586141131596,0.0,6.292690439565018e-06,0.21755184934433103
38,0.03240506329113924,0.0,2.3623994536229958e-06,0.16089019256551554
39,0.03549639489739324,0.0,1.8548650139728566e-06,0.18151058352341778
40,0.04450625869262865,0.6931471805599453,1.288208112276711e-05,0.3205326566884517
41,0.03769140164899882,0.0,0.0,0.19575077965149493
42,0.04113110539845758,0.0,6.681382324933302e-06,0.2206409527810905
43,0.0445993031358885,0.0,0.0,0.2421337668214527
44,0.04426002766251729,0.0,1.384300208235266e-05,0.24357336066021076
45,0.04153147306943543,0.0,6.821594865054456e-06,0.22336686994848498
46,0.0431266846361186,0.0,0.0,0.23224589492421985
47,0.04161248374512354,1.277034259466139,6.109643565696515e-05,0.37770377938673033
48,0.039776258545680544,1.7917594692280547,6.204076035831235e-05,0.42174130101991386
49,0.03504928806133625,0.0,6.511284241114481e-06,0.17975901234588543
50,0.03699421965317919,0.0,0.0,0.19106956298553648
51,0.03076923076923077,0.0,0.0,0.14927198088548932
52,0.023205221174764323,0.0,0.0,0.09848356697434324
53,0.026446280991735537,0.0,0.0,0.12024560805048608
54,0.03368421052631579,0.0,0.0,0.16884456293955652
55,0.04131697869593286,0.6365141682948128,1.1339695499529963e-05,0.2925301725657861
56,0.0392156862745098,0.0,6.431741876096298e-06,0.2077128605989289
57,0.04086845466155811,0.0,0.0,0.21708304812687582
58,0.03832335329341317,0.0,0.0,0.1999940082311924
59,0.03775811209439528,1.0851210346782028,0.00012564734563399768,0.3482377618831151
60,0.04145077720207254,0.6365141682948128,0.0002593853661377286,0.3600432863985088
61,0.038117927337701016,0.0,0.0,0.19861467914170597
62,0.03524229074889868,0.0,0.0,0.1793062661226409
63,0.036036036036036036,0.0,2.7186825617811504e-06,0.18536598016098146
64,0.0392156862745098,0.0,0.0,0.20598556287221995
65,0.03611738148984198,0.0,0.0,0.18518204803510094
66,0.04131697869593286,0.0,0.0,0.220094655135358
67,0.04923076923076923,0.6365141682948128,0.00012021796869111241,0.37490734967036926
68,0.0469208211143695,0.0,1.7983128684606255e-05,0.2625510784886325
69,0.047267355982274745,0.0,0.0,0.26004836232886813
70,0.04678362573099415,0.0,0.0,0.25680036377511767
71,0.05207485760781123,2.61460691058054,0.00015099851848971932,0.6179138131073934
72,0.048669201520912544,1.5229550675313184,4.8945497069574e-05,0.44863202714496603
73,0.05306799336650083,1.5627106460948132,0.0002575938773074878,0.5385358856959731
74,0.052545155993431854,1.0397207708399179,0.00014915916431206916,0.4488900617828411
75,0.04804804804804805,1.8343719702816235,3.945570305517366e-05,0.4758621253028918
76,0.05055292259083728,0.0,0.0,0.28210924350099015
77,0.0504334121355398,0.6931471805599453,3.7839762671603295e-05,0.3670330205507473
78,0.04996096799375488,0.0,0.0,0.27813457441606176
79,0.028169014084507043,0.0,7.034994450934506e-07,0.13200180075488832
80,0.02102496714848883,0.0,0.0,0.08384428835696422
81,0.008537886872998933,0.0,0.0,0.0
82,0.015810276679841896,0.0,0.0,0.048830337801705766
83,0.010554089709762533,0.0,0.0,0.013537759692595908
84,0.010217113665389528,0.0,0.0,0.011275139767804004
85,0.01045751633986928,0.0,0.0,0.012889319441208478
86,0.011816838995568686,0.0,0.0,0.02201646831830209
87,0.011799410029498525,0.0,0.0,0.02189944182173838
88,0.010329244673983214,0.0,0.0,0.012028041519924556
89,0.013781223083548665,0.0,0.0,0.035206291902579796
90,0.013745704467353952,0.0,0.0,0.03496780275759404
91,0.01188707280832095,0.0,0.0,0.02248805206076977
92,0.016675351745700884,0.0,0.0,0.05463886963397632
93,0.01664932362122789,0.0,0.0,0.05446410423441464
94,0.013745704467353952,0.0,0.0,0.03496780275759404
95,0.018028169014084508,0.0,0.0,0.06372233819846325
96,0.018724400234055003,0.0,0.0,0.0683971708961362
97,0.02566158781074579,0.0,0.0,0.11497679901849907
98,0.017222820236813777,0.0,0.0,0.058314837516181724
99,0.022487702037947997,0.0,0.0,0.0936657969206861
100,0.00963275135460566,0.0,0.0,0.007351448960235901
101,0.015533980582524271,0.0,0.0,0.04697515235047794
102,0.010803511141120865,0.0,0.0,0.01521249565583486
103,0.012121212121212121,0.0,0.0,0.02406017649920088
104,0.013828867761452032,0.0,0.0,0.03552620128288909
105,0.01686874011597259,0.0,0.0,0.055937372560538795
106,0.021462105969148222,0.0,0.0,0.08677944954138701
107,0.02564102564102564,0.0,0.0,0.11483873467925998
108,0.018038331454340473,0.0,0.0,0.06379057373090423
109,0.02077922077922078,0.0,0.0,0.08219422853569194
110,0.02069857697283312,0.0,0.0,0.08165274706782297
111,0.015647921760391197,0.0,0.0,0.04774020845342927
112,0.016452442159383032,0.0,0.0,0.0531421470038311
113,0.010355987055016181,0.0,0.0,0.012207602783023094
114,0.010803511141120865,0.0,0.0,0.01521249565583486
115,0.012066365007541479,0.0,0.0,0.02369190648630004
116,0.01316872427983539,0.0,0.0,0.03109367909127017
117,0.021505376344086023,0.0,0.0,0.08706998773875248
118,0.012355212355212355,0.0,0.0,0.025631367094781726
119,0.012509773260359656,0.0,0.0,0.02666916366643669
120,0.013675213675213675,0.0,0.0,0.034494493531391585
121,0.03004694835680751,1.0986122886681096,2.7908174319316726e-06,0.26493790326450056
122,0.015984015984015984,0.0,0.0,0.0499969074077892
123,0.020887728459530026,0.0,0.0,0.0829228015116062
124,0.018306636155606407,0.0,0.0,0.06559210108911509
125,0.022566995768688293,0.0,3.338108664392696e-06,0.09509469014908223
126,0.01920768307322929,0.0,8.985536318360798e-07,0.07188347935344626
127,0.023238925199709513,0.0,0.0,0.0987098720772136
128,0.0163265306122449,0.0,0.0,0.05229671605978226
129,0.01883460859329017,0.0,0.0,0.06913716305180437
130,0.02098360655737705,0.0,0.0,0.08356657337065172
131,0.02545743834526651,0.0,1.5742208818260421e-06,0.11402881100012092
132,0.01648634724368882,0.0,0.0,0.053369802116362226
133,0.011976047904191617,0.0,0.0,0.02308547383032559
134,0.014234875444839857,0.0,0.0,0.038252332975013285
135,0.017611447440836543,0.0,0.0,0.060924268274899836
136,0.010369410239792612,0.0,0.0,0.012297732529147417
137,0.014336917562724014,0.0,0.0,0.03893749304187278
138,0.012121212121212121,0.0,0.0,0.02406017649920088
139,0.014532243415077202,0.0,0.0,0.04024900515895397
140,0.017977528089887642,0.0,0.0,0.06338231057332182
141,0.02397003745318352,0.0,1.44716191855254e-06,0.10400756024044179
142,0.0144014401440144,0.0,0.0,0.03937072881772229
143,0.017344173441734417,0.0,0.0,0.05912966154885647
144,0.02098360655737705,0.0,0.0,0.08356657337065172
145,0.014571948998178506,0.0,0.0,0.040515607622098354
146,0.01809954751131222,0.0,0.0,0.06420160790539338
147,0.02242466713384723,0.0,0.0,0.09324255012805101
148,0.01593625498007968,0.0,0.0,0.0496762169583081
149,0.01839080459770115,0.0,0.0,0.06615724866355648
150,0.023340627279358133,0.0,1.7733235393123112e-06,0.09986898973539711
151,0.017611447440836543,0.0,0.0,0.060924268274899836
152,0.01685985247629083,0.0,0.0,0.05587769665489472
153,0.023054755043227664,0.0,0.0,0.09747326469052764
154,0.01756311745334797,0.0,0.0,0.06059975739502393
155,0.019536019536019536,0.0,0.0,0.07384677490993938
156,0.014967259120673527,0.0,0.0,0.04316991072335707
157,0.0144014401440144,0.0,0.0,0.03937072881772229
158,0.01228878648233487,0.0,0.0,0.025185351699907165
159,0.013651877133105802,0.0,0.0,0.034337800715891105
160,0.01812004530011325,0.0,2.9175056359862227e-06,0.06512276034220271
161,0.02068519715578539,0.0,9.84526583074958e-07,0.08182731130858732
162,0.0150093808630394,0.0,0.0,0.04345273644683337
163,0.023686158401184307,0.0,0.0,0.10171281181012004
164,0.016580310880829015,0.0,0.0,0.05400071936151804
165,0.01626842907981698,0.0,0.0,0.05190659430742756
166,0.022840827980014276,0.0,0.0,0.0960368550591562
167,0.03076923076923077,0.0,0.0,0.14927198088548932
168,0.021361815754339118,0.0,0.0,0.08610605259796049
169,0.019704433497536946,0.0,0.0,0.07497758759323099
170,0.022176022176022176,0.0,1.7669934051398397e-06,0.09204756854530492
171,0.031418753068237604,0.0,0.0,0.15363318732692632
172,0.01853997682502897,0.0,0.0,0.067158863049545
173,0.032904884318766064,0.0,0.0,0.1636117903595488
174,0.017887087758524316,0.0,0.0,0.06277505050494457
175,0.023005032350826744,0.0,0.0,0.09713940251717952
176,0.02933088909257562,0.0,0.0,0.13961426013470457
177,0.020395156150414276,0.0,0.0,0.07961543311074624
178,0.01790710688304421,0.0,0.0,0.06290946857641276
179,0.022176022176022176,0.0,0.0,0.09157302778315912
180,0.01919616076784643,0.0,0.0,0.07156479898516856
181,0.02038216560509554,0.0,0.0,0.07952820831491018
182,0.024427480916030534,0.0,0.0,0.10669040924114466
183,0.022315202231520222,0.0,0.0,0.0925075499011615
184,0.01665799062988027,0.0,0.0,0.054522298716760446
185,0.018923713778829097,0.0,0.0,0.06973545830622753
186,0.02165087956698241,0.0,0.0,0.08804696665682177
187,0.020100502512562814,0.0,0.0,0.07763698626549466
188,0.020874103065883887,0.0,0.0,0.0828313140374617
189,0.020138451856513532,0.0,0.0,0.07789179649070054
190,0.023633677991137372,0.0,0.0,0.10136043298849078
191,0.01861547411285631,0.0,0.0,0.067665788305979
192,0.02318840579710145,0.0,0.0,0.09837066040671553
193,0.024864024864024864,0.0,0.0,0.10962157616316463
194,0.021753908905506457,0.0,0.0,0.08873875539989513
195,0.01680672268907563,0.0,0.0,0.05552095760130193
196,0.010094637223974764,0.0,0.0,0.010452773782773012
197,0.011544011544011544,0.0,0.0,0.020184573030101478
198,0.01316872427983539,0.0,0.0,0.03109367909127017
199,0.015384615384615385,0.0,0.0,0.04597224226680136
200,0.021136063408190225,0.0,0.0,0.08459024230522764
201,0.02671118530884808,0.0,0.0,0.1220243035870708
202,0.025078369905956112,0.0,0.0,0.11106079230553578
203,0.023205221174764323,0.0,9.118756566439822e-07,0.09872845875935349
204,0.02391629297458894,0.0,0.0,0.10325804649330846
205,0.0278503046127067,0.0,0.0,0.12967290079943714
206,0.027095681625740897,0.0,0.0,0.12460599757433773
207,0.02373887240356083,0.0,0.0,0.10206675908347762
208,0.027923211169284468,0.0,0.0,0.1301624306349118
209,0.028293545534924844,0.0,0.0,0.13264903444110274
210,0.028268551236749116,0.0,0.0,0.13248121065064958
211,0.027777777777777776,0.0,0.0,0.12918592059852219
212,0.028368794326241134,0.0,0.0,0.13315429117193514
213,0.02689075630252101,0.0,0.0,0.12323002997321504
214,0.029438822447102116,0.0,0.0,0.14033897680990823
215,0.027538726333907058,0.0,0.0,0.12758081374008498
216,0.028368794326241134,0.0,0.0,0.13315429117193514
217,0.024132730015082957,0.0,0.0,0.10471130932448669
218,0.02689075630252101,0.0,0.0,0.12323002997321504
219,0.02821869488536155,0.0,0.0,0.13214645102630648
220,0.02772963604852686,0.0,0.0,0.1288626737753846
221,0.02933088909257562,0.0,0.0,0.13961426013470457
222,0.029357798165137616,0.0,0.0,0.1397949406452427
223,0.0300187617260788,0.0,0.0,0.14423296924555332
224,0.02857142857142857,0.0,0.0,0.13451487536853388
225,0.024615384615384615,0.0,0.0,0.10795208543801416
226,0.0297951582867784,0.0,0.0,0.1427315877513452
227,0.02982292637465051,0.0,0.0,0.14291803610558865
228,0.027210884353741496,0.6931471805599453,1.0343054048863062e-05,0.2037212827154252
229,0.028854824165915238,0.0,0.0,0.1364177302728843
230,0.02973977695167286,0.0,0.0,0.14235973071769606
231,0.028751123090745734,0.0,0.0,0.1357214311655177
232,0.028545941123996433,0.0,0.0,0.13434374033577703
233,0.02839396628216504,0.0,0.0,0.13332330784232013
234,0.0285204991087344,0.0,0.0,0.13417291035655451
235,0.02737382378100941,0.0,0.0,0.12647357835031267
236,0.029411764705882353,0.0,0.0,0.14015729806619334
237,0.030680728667305847,0.0,0.0,0.14867773502574613
238,0.028419182948490232,0.0,0.0,0.13349262471993484
239,0.028545941123996433,0.0,0.0,0.13434374033577703
240,0.028699551569506727,0.0,0.0,0.13537515506234743
241,0.02872531418312388,0.0,0.0,0.13554813769377852
242,0.028444444444444446,0.0,0.0,0.13366224260533202
243,0.02933088909257562,0.0,0.0,0.13961426013470457
244,0.02960222016651249,0.0,0.0,0.14143610802079698
245,0.028933092224231464,0.0,0.0,0.1369432598206911
246,0.027420736932305057,0.0,0.0,0.12678857590764292
247,0.028495102404274265,0.0,0.0,0.1340023846159415
248,0.032454361054766734,0.6931471805599453,1.1336259009479967e-06,0.2364552494821541
249,0.025848142164781908,0.0,0.0,0.11622941505915618
250,0.02782608695652174,0.0,0.0,0.12951029175843598
251,0.03749267721148213,0.0,3.589359221712615e-06,0.19538040003758503
252,0.026122448979591838,1.0986122886681096,2.037572273424865e-06,0.23838462862602494
253,0.032520325203252036,0.0,3.2372712097858894e-06,0.16189907079616625
254,0.036613272311212815,0.0,0.0,0.18851169853011676
255,0.03287108371854135,0.0,0.0,0.1633848368036049
256,0.03073967339097022,0.0,0.0,0.14907351837133234
257,0.023721275018532245,0.0,0.0,0.10194860174067895
258,0.02821869488536155,0.0,0.0,0.13214645102630648
259,0.02917046490428441,0.0,6.925508846631371e-07,0.1387230849429662
260,0.0300187617260788,0.0,0.0,0.14423296924555332
261,0.03206412825651302,0.0,0.0,0.15796654806381574
262,0.027257240204429302,0.0,0.0,0.12569077990609548
263,0.02824360105913504,0.6365141682948128,3.4418140769144433e-06,0.20262815885227103
264,0.026644462947543714,0.0,0.0,0.1215762974256912
265,0.018233618233618232,0.0,0.0,0.0651018234924843
266,0.011878247958426132,0.0,0.0,0.022428797756083318
267,0.016235413495687467,0.0,0.0,0.051684911728717635
268,0.01353637901861252,0.0,0.0,0.03356229058841414
269,0.0191044776119403,0.0,0.0,0.07094919399251397
270,0.013311148086522463,0.0,0.0,0.03204998132152062
271,0.015414258188824663,0.0,0.0,0.04617127837203969
272,0.01224177505738332,0.0,0.0,0.024869694285784005
273,0.013179571663920923,0.0,0.0,0.03116651366741775
274,0.01188707280832095,0.0,0.0,0.02248805206076977
275,0.011611030478955007,0.0,0.0,0.02063457053014205
276,0.027467811158798282,0.0,0.0,0.1271046550016507
277,0.0199501246882793,0.0,0.0,0.07662727691922996
278,0.013125512715340444,0.0,0.0,0.030803535775624048
279,0.012578616352201259,0.0,0.0,0.027131409436977772
280,0.014598540145985401,0.0,0.0,0.04069415343226985
281,0.01733477789815818,0.0,0.0,0.059066575331142075
282,0.01532567049808429,0.0,0.0,0.04557645782764929
283,0.030828516377649325,0.0,0.0,0.14967005309596595
