,site_area,footprint_area,build_floor_area,living_area,non_living_area,fsi,gsi,mxi,l,osr,share_living,share_non_living,land_use
0,625165.1973109213,93861.76983368763,526829.4135619662,368329.5882437978,158499.82531816832,0.8427043217185864,0.15013914760038408,0.6991439330493543,5.612822073304689,1.008492338886354,3.9241704998364715,1.6886515734682177,LandUse.RESIDENTIAL
1,40333.30908548645,3754.220153082628,3754.220153082628,1514.7992154486478,2239.42093763398,0.09307989446453695,0.09307989446453695,0.40349237755937967,1.0,9.743458678726757,0.40349237755937967,0.5965076224406203,LandUse.RESIDENTIAL
2,82921.21990264248,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
3,148686.36047449117,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
4,543631.5152714142,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
5,1088621.2409966164,62.07549277693033,62.07549277693033,0.0,62.07549277693033,5.702212159676505e-05,5.702212159676505e-05,0.0,1.0,17536.053550401946,0.0,1.0,LandUse.AGRICULTURE
6,41637.11785762454,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
7,644469.2307642206,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
8,1973017.3891882338,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.INDUSTRIAL
9,1873688.6243260442,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.RECREATION
10,536130.8225517218,12779.88941291572,12779.88941291572,0.0,12779.88941291572,0.023837259257152323,0.023837259257152323,0.0,1.0,40.95113159663907,0.0,1.0,LandUse.RECREATION
11,549758.6665435368,30249.164837375698,35810.098409127044,0.0,35810.098409127044,0.06513785154906902,0.05502262479563874,0.0,1.1838375902821716,14.507346385112193,0.0,1.1838375902821716,LandUse.RECREATION
12,512187.2013250025,9067.48515452433,12553.784703962388,0.0,12553.784703962388,0.02451014916320904,0.01770345906939338,0.0,1.384483623631689,40.07713434910804,0.0,1.384483623631689,LandUse.RESIDENTIAL
13,1022900.2605016343,5268.588727250695,5268.588727250695,0.0,5268.588727250695,0.005150637780331543,0.005150637780331543,0.0,1.0,193.15071349389873,0.0,1.0,LandUse.INDUSTRIAL
14,457578.2755145795,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.INDUSTRIAL
15,347163.4621421734,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.INDUSTRIAL
16,34479.08520060785,3789.6694320216775,3789.6694320216775,0.0,3789.6694320216775,0.10991212237715829,0.10991212237715829,0.0,1.0,8.098177511016909,0.0,1.0,LandUse.INDUSTRIAL
17,145159.36082595342,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.RESIDENTIAL
18,164462.83871351526,37098.171684511006,37098.171684511006,0.0,37098.171684511006,0.2255717581838282,0.2255717581838282,0.0,1.0,3.4331790825740542,0.0,1.0,LandUse.INDUSTRIAL
19,196541.26817682877,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.INDUSTRIAL
20,215391.90087760618,12374.887727234513,12374.887727234513,0.0,12374.887727234513,0.05745289250344836,0.05745289250344836,0.0,1.0,16.40556404431647,0.0,1.0,LandUse.INDUSTRIAL
21,111236.47982190385,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.BUSINESS
22,317869.45881109923,946.0866517075337,946.0866517075337,0.0,946.0866517075337,0.0029763370637937445,0.0029763370637937445,0.0,1.0,334.9834516610039,0.0,1.0,LandUse.AGRICULTURE
23,203241.08977964782,1994.8726780435536,2180.462547874311,0.0,2180.462547874311,0.010728453337060675,0.009815302014993015,0.0,1.093033441118043,92.29519548400185,0.0,1.093033441118043,LandUse.AGRICULTURE
24,313065.5145645569,4291.937944620388,4857.9246534074255,0.0,4857.9246534074255,0.015517278101244454,0.013709392267589897,0.0,1.1318720624785494,63.560799857889485,0.0,1.1318720624785494,LandUse.AGRICULTURE
25,206370.35058284667,1310.916057176888,1310.916057176888,0.0,1310.916057176888,0.006352249988791995,0.006352249988791995,0.0,1.0,156.42453489148173,0.0,1.0,LandUse.AGRICULTURE
26,291046.67412979406,349.71515031158924,349.71515031158924,0.0,349.71515031158924,0.0012015775523194318,0.0012015775523194318,0.0,1.0,831.2392492017497,0.0,1.0,LandUse.AGRICULTURE
27,97997.17737136365,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
28,35816.77953545192,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
29,242358.33403274618,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
30,136320.27746030712,19052.010067775846,19052.010067775846,0.0,19052.010067775846,0.13975917906507557,0.13975917906507557,0.0,1.0,6.155165096772453,0.0,1.0,LandUse.INDUSTRIAL
31,438435.409598299,6109.691846812144,6235.812300512567,0.0,6235.812300512567,0.014222875625456233,0.013935215343144692,0.0,1.020642686548296,69.32949500676132,0.0,1.020642686548296,LandUse.AGRICULTURE
32,349377.81726230594,6820.554093196522,7339.939514772501,0.0,7339.939514772501,0.021008602012250306,0.019522000986329894,0.0,1.0761500333373302,46.67031144870774,0.0,1.0761500333373302,LandUse.AGRICULTURE
33,357409.81084725965,2811.863596470561,2811.863596470561,0.0,2811.863596470561,0.007867337468450804,0.007867337468450804,0.0,1.0,126.1078054055961,0.0,1.0,LandUse.AGRICULTURE
34,491626.089398829,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
35,899268.3730730212,8070.798335630447,8070.798335630447,0.0,8070.798335630447,0.008974849530235945,0.008974849530235945,0.0,1.0,110.42248085954377,0.0,1.0,LandUse.AGRICULTURE
36,112386.51588336304,4621.4455144433305,4621.4455144433305,0.0,4621.4455144433305,0.041120996394616936,0.041120996394616936,0.0,1.0,23.318476877445217,0.0,1.0,LandUse.INDUSTRIAL
37,158914.53895658738,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.AGRICULTURE
38,423298.4385711703,2449.1711259577423,3230.4112416766584,0.0,3230.4112416766584,0.007631521752314521,0.005785920529791788,0.0,1.3189814331219563,130.2773040211382,0.0,1.3189814331219563,LandUse.AGRICULTURE
39,539122.7892417586,113.2396020302549,113.2396020302549,0.0,113.2396020302549,0.00021004417600212945,0.00021004417600212945,0.0,1.0,4759.9032491806,0.0,1.0,LandUse.AGRICULTURE
40,155254.41742990623,17388.22197257285,20625.398496623384,0.0,20625.398496623384,0.13284902831145062,0.1119982430156825,0.0,1.1861706463810195,6.684292450393318,0.0,1.1861706463810195,LandUse.INDUSTRIAL
41,344983.9072857425,2599.527851787396,2599.527851787396,0.0,2599.527851787396,0.007535214822743209,0.007535214822743209,0.0,1.0,131.7102177607125,0.0,1.0,LandUse.AGRICULTURE
42,149669.6269375638,10901.077364131366,17399.25200569539,0.0,17399.25200569539,0.1162510548179135,0.07283426562343782,0.0,1.5961038917993058,7.975546852704275,0.0,1.5961038917993058,LandUse.RESIDENTIAL
43,4.0657581468206416e-19,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.TRANSPORT
44,72238.66572084247,3124.1329078939743,3124.1329078939743,247.19765344858172,2876.9352544453927,0.043247378349522754,0.043247378349522754,0.0791252039322557,1.0,22.122788898741078,0.0791252039322557,0.9208747960677444,LandUse.TRANSPORT
45,146593.2849695871,12928.638827416027,14195.507702449017,9371.99120656997,4823.5164958790465,0.09683600244986719,0.08819393623724484,0.6602082435525084,1.0979893469022053,9.415982079958379,0.7249016181576708,0.37308772874453444,LandUse.RESIDENTIAL
46,6.2341624917916505e-19,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.TRANSPORT
47,114572.96853293572,12524.29876547493,49670.76790720411,35901.502941709754,13769.264965494349,0.43352955363922074,0.10931285909620674,0.7227893679594735,3.9659520135473674,2.054501552263297,2.8665479492295027,1.0994040643178642,LandUse.RESIDENTIAL
48,96710.61356030121,16298.57043366949,81896.02900673891,53914.56365920305,27981.46534753586,0.8468153183174143,0.16852928374306064,0.6583294002541518,5.0247369448769925,0.9818796357026653,3.3079320593557493,1.7168048855212428,LandUse.RESIDENTIAL
49,307159.06815606577,133.57387370616198,133.57387370616198,0.0,133.57387370616198,0.00043486872944377425,0.00043486872944377425,0.0,1.0,2298.544511464565,0.0,1.0,LandUse.RESIDENTIAL
50,291447.3702812028,2627.6041025470477,2627.6041025470477,0.0,2627.6041025470477,0.009015707021174374,0.009015707021174374,0.0,1.0,109.91753510305854,0.0,1.0,LandUse.INDUSTRIAL
51,306937.06728877506,45.03329323977232,45.03329323977232,0.0,45.03329323977232,0.00014671832775871194,0.00014671832775871194,0.0,1.0,6814.781063457638,0.0,1.0,LandUse.RECREATION
52,1444247.3847577525,114.08865943655837,114.08865943655837,0.0,114.08865943655837,7.899523353175036e-05,7.899523353175036e-05,0.0,1.0,12657.991628881919,0.0,1.0,LandUse.RECREATION
53,112081.79117742466,3500.747909798636,3500.747909798636,0.0,3500.747909798636,0.03123386834759785,0.03123386834759785,0.0,1.0,31.016527343687432,0.0,1.0,LandUse.AGRICULTURE
54,94279.75232960346,5364.98275879171,5364.98275879171,0.0,5364.98275879171,0.05690493055216827,0.05690493055216827,0.0,1.0,16.573169676101056,0.0,1.0,LandUse.AGRICULTURE
55,264557.36841649335,45796.21017015728,55505.28760430409,6227.7948050171135,49277.49279928698,0.20980435334888112,0.17310502612068696,0.1122018292998483,1.212006133216535,3.941266997945841,0.13598930526953087,1.0760168279470044,LandUse.INDUSTRIAL
56,155478.8763704154,189.483339400962,189.483339400962,0.0,189.483339400962,0.001218707928847735,0.001218707928847735,0.0,1.0,819.5411455273627,0.0,1.0,LandUse.RESIDENTIAL
57,80794.8949430302,3811.0127639358398,3811.0127639358398,2087.4965605219827,1723.516203413857,0.04716897975575124,0.04716897975575124,0.5477537572889448,1.0,20.200373745163983,0.5477537572889448,0.4522462427110552,LandUse.BUSINESS
58,81642.01137193118,6826.469438939239,7161.392838030937,5031.895609576907,2129.49722845403,0.08771700644912149,0.08361466509981409,0.7026420311499701,1.0490624622416447,10.44706576291699,0.7371153792726581,0.31194708296898654,LandUse.RESIDENTIAL
59,238763.4999261186,13087.729298635852,46373.39408515766,34509.03125300706,11864.362832150606,0.19422312916131293,0.05481461489166323,0.7441558232644453,3.5432727119433323,4.866492416170005,2.6367470220066345,0.9065256899366982,LandUse.RESIDENTIAL
60,23131.605646611988,3988.75325198099,3988.75325198099,1284.6685090687126,2704.0847429122778,0.17243737044969076,0.17243737044969076,0.3220726948779521,1.0,4.799206966518628,0.3220726948779521,0.6779273051220479,LandUse.RESIDENTIAL
61,178064.9755589565,218.8113224164117,218.8113224164117,0.0,218.8113224164117,0.0012288285314366288,0.0012288285314366288,0.0,1.0,812.7831881482241,0.0,1.0,LandUse.RESIDENTIAL
62,84517.95478911881,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.RESIDENTIAL
63,367825.21580778004,1329.8623711578548,1329.8623711578548,0.0,1329.8623711578548,0.003615473638035792,0.003615473638035792,0.0,1.0,275.5889341522839,0.0,1.0,LandUse.INDUSTRIAL
64,98051.26666763893,12792.009398120455,15131.289092506282,0.0,15131.289092506282,0.15432017970554426,0.13046245941402365,0.0,1.1828703858464598,5.634632763162448,0.0,1.1828703858464598,LandUse.INDUSTRIAL
65,73052.43507604972,9745.31562000318,9745.31562000318,0.0,9745.31562000318,0.13340165334472454,0.13340165334472454,0.0,1.0,6.4961589675046225,0.0,1.0,LandUse.INDUSTRIAL
66,182381.33684112545,12132.072821065944,12545.184586327683,7622.759094243124,4922.425492084559,0.06878546239221803,0.0665203634933016,0.6076243073020031,1.0340512104860118,13.570885533689552,0.6283146504863607,0.40573655999965114,LandUse.RESIDENTIAL
67,24954.672189713907,3190.522063512355,13958.772342972457,9095.828509283067,4862.943833689392,0.559365085497943,0.12785269384654388,0.6516209510259948,4.375074694705494,1.5591736573566737,2.8508903333737576,1.524184361331736,LandUse.RESIDENTIAL
68,55607.676369241046,4205.1329749082215,4205.1329749082215,0.0,4205.1329749082215,0.07562144742365567,0.07562144742365567,0.0,1.0,12.223761698155265,0.0,1.0,LandUse.BUSINESS
69,83315.64894786717,7556.574743296951,9561.017220508307,5986.936034399271,3574.081186109036,0.11475655943688191,0.0906981442108829,0.6261819110164701,1.2652580759542402,7.923746235083397,0.7922817199300483,0.472976356024192,LandUse.RESIDENTIAL
70,37183.75734832458,3509.6583950677887,4417.788990833797,3115.606255517155,1302.1827353166416,0.11880964447593279,0.0943868679593222,0.7052410746600932,1.2587518480551345,7.622387357822011,0.8877235060527814,0.37102834200235324,LandUse.RESIDENTIAL
71,258280.67977140652,45936.22153710396,263389.8548437914,182402.49785906877,80987.35698472265,1.0197814837598647,0.17785388197739063,0.692519072032012,5.7338162789694,0.8061983190667601,3.970777128713933,1.7630391502554672,LandUse.RESIDENTIAL
72,183877.99774935114,3204.421007350902,42907.5416532614,33408.7709887743,9498.770664487101,0.23334788380581448,0.017426886558330548,0.7786223517243825,13.390107465539652,4.210765049231554,10.425836964660695,2.9642705008789543,LandUse.BUSINESS
73,81523.6768028165,17257.180416099494,264550.50405538594,209376.54263489507,55173.961420490865,3.245075718251292,0.2116830483227578,0.7914426146436685,15.329879950063141,0.2429271364127216,12.132720269851523,3.1971596802116187,LandUse.RESIDENTIAL
74,26816.991221747827,11435.002213027794,11435.002213027794,0.0,11435.002213027794,0.42640884350047176,0.42640884350047176,0.0,1.0,1.3451671212792136,0.0,1.0,LandUse.BUSINESS
75,253448.7849834105,35907.916084254975,95527.60949236935,32161.37819926366,63366.23129310568,0.37691089937015126,0.14167720743504583,0.3366710249546513,2.660349580527638,2.27725649218232,0.8956626200139164,1.7646869605137214,LandUse.BUSINESS
76,45886.380891372035,3755.5441746804863,5023.31168291904,2028.4280131816865,2994.8836697373536,0.10947282364261524,0.08184441879543909,0.4038029374285152,1.337572252986856,8.387064027890336,0.5401156047789695,0.7974566482078864,LandUse.TRANSPORT
77,52854.45411899722,5755.4711512018985,24294.192890240724,366.2164228200913,23927.97646742063,0.4596432466324305,0.10889283121236962,0.0150742370604625,4.221060665931309,1.938693052310273,0.06362926912484226,4.157431396806467,LandUse.RESIDENTIAL
78,30584.491085306698,2897.145091697108,4560.497372835409,1926.130058026314,2634.367314809095,0.14911143560032453,0.09472595387042242,0.42235087547671946,1.574134959931859,6.071124206436165,0.6648372784457313,0.9092976814861278,LandUse.RESIDENTIAL
79,2842930.4585085018,8096.410137263592,8173.050833908375,122.62511463165283,8050.425719276723,0.0028748683631875526,0.0028479100194069625,0.015003591330045989,1.0094660096691552,346.8513907450656,0.015145615470648256,0.9943203941985069,LandUse.AGRICULTURE
80,1109887.4298239432,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,,,LandUse.RECREATION
