source,target,value
1051,77,63.0
1051,1601,16.0
1051,1608,62.0
1053,1598,2.0
1055,2769,13.0
1056,1089,67.0
1059,1089,75.0
1060,1070,20.0
1061,1093,40.0
1062,1089,28.0
1064,855,594.0
1069,1070,23.0
1071,1070,117.0
1074,1086,451.0
1075,1073,70.0
1076,1089,51.0
1077,1959,202.0
1078,1088,129.0
1079,1093,42.0
1083,1088,130.0
1084,1088,173.0
1085,1086,488.0
1087,1086,246.0
1090,1089,149.0
1091,1088,144.0
1094,1093,91.0
1095,1959,166.0
1096,1088,127.0
1097,1088,122.0
1098,1598,2.0
1100,1598,6.0
1101,661,7.0
1102,77,14.0
1103,1262,1.0
1104,1129,270.0
1104,1138,107.0
1105,1128,15.0
1106,77,27.0
1109,1140,3.0
1115,2427,5.0
1116,2427,1.0
1121,3050,73.0
1122,3050,56.0
1123,1138,206.0
1124,1128,193.0
1125,1128,170.0
1125,1138,60.0
1126,1128,20.0
1127,1128,63.0
1131,1129,87.0
1131,1141,216.0
1132,1138,130.0
1133,1141,141.0
1134,1129,287.0
1135,1129,608.0
1136,1140,52.0
1137,1140,41.0
1139,1141,161.0
1142,1141,336.0
1143,1140,22.0
1144,637,54.0
1145,3050,111.0
1146,1141,177.0
1147,3050,49.0
1148,1138,123.0
1149,2427,10.0
1150,2427,15.0
1151,2427,1.0
1152,2427,5.0
1154,2427,10.0
1156,1138,196.0
1158,2427,23.0
1161,2427,1.0
1162,2427,38.0
1163,2427,155.0
1164,2427,144.0
1166,1138,72.0
1167,855,416.0
1168,855,881.0
1168,1129,323.0
1170,1157,20.0
1174,3050,87.0
1176,77,12.0
1177,77,64.0
1178,77,156.0
1179,77,26.0
1180,77,9.0
1181,77,19.0
1182,1619,5.0
1183,77,77.0
1186,77,34.0
1187,1138,160.0
1190,1394,85.0
1202,2427,50.0
1206,1438,151.0
1218,2477,167.0
1219,2477,7.0
1223,1263,181.0
1245,1331,118.0
1246,1367,87.0
1247,1263,76.0
1254,1383,4.0
1260,1338,140.0
1261,1333,529.0
1265,1263,122.0
1266,1263,3.0
1267,1263,5.0
1268,1263,9.0
1269,1263,7.0
1271,1383,4.0
1272,1383,3.0
1273,1367,7.0
1274,1367,17.0
1275,1367,7.0
1276,1367,4.0
1277,1367,6.0
1278,1367,12.0
1279,1280,148.0
1281,1367,80.0
1282,1263,7.0
1283,1263,13.0
1284,1367,10.0
1285,1263,4.0
1285,1367,1.0
1286,1331,165.0
1287,1367,88.0
1290,1367,7.0
1291,1263,9.0
1292,1263,11.0
1293,1263,11.0
1294,1263,8.0
1296,1263,8.0
1297,1263,12.0
1299,1263,7.0
1300,1263,12.0
1302,1263,9.0
1303,1263,11.0
1304,1331,304.0
1305,1331,304.0
1306,1263,39.0
1307,1380,104.0
1308,1263,88.0
1310,1263,5.0
1311,1263,13.0
1312,1263,15.0
1313,1263,10.0
1314,1263,66.0
1314,1384,3.0
1315,1263,58.0
1316,1383,3.0
1317,1263,60.0
1318,1384,171.0
1319,1263,7.0
1320,1263,9.0
1321,1263,13.0
1322,1367,37.0
1323,1367,26.0
1324,1331,299.0
1325,1367,74.0
1326,1262,32.0
1327,1338,28.0
1327,1404,53.0
1328,1331,9.0
1328,1338,67.0
1329,1331,90.0
1330,1338,108.0
1334,1262,33.0
1335,1262,74.0
1336,1333,229.0
1337,1333,222.0
1339,1331,90.0
1340,1367,57.0
1341,1331,185.0
1342,1357,191.0
1344,1394,4.0
1345,1357,123.0
1347,1394,16.0
1348,1394,8.0
1349,1608,22.0
1351,1357,215.0
1352,1619,6.0
1353,1394,6.0
1354,1394,4.0
