,population,degree_centrality,population_normalized,degree_centrality_normalized,population_centrality
0,9956,0.0038560411311053984,1.5490844915067283,1.3076923076923077,0.7273328921244208
1,38,0.0016066838046272492,1.0020957423339951,1.1282051282051282,0.09258568477628704
2,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
3,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
4,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
5,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
6,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
7,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
8,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
9,0,0.002892030848329049,1.0,1.2307692307692308,0.1636363636363637
10,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
11,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
12,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
13,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
14,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
15,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
16,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
17,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
18,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
19,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
20,0,0.0009640102827763496,1.0,1.0769230769230769,0.054545454545454564
21,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
22,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
23,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
24,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
25,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
26,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
27,0,0.0016066838046272492,1.0,1.1282051282051282,0.09090909090909094
28,0,0.0012853470437017994,1.0,1.1025641025641026,0.07272727272727275
29,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
30,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
31,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
32,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
33,0,0.002570694087403599,1.0,1.205128205128205,0.1454545454545454
34,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
35,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
36,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
37,0,0.0019280205655526992,1.0,1.1538461538461537,0.10909090909090902
38,0,0.0022493573264781488,1.0,1.1794871794871795,0.12727272727272732
39,0,0.0006426735218508997,1.0,1.0512820512820513,0.036363636363636376
