,area_accessibility
0,31.56613917791007
1,31.87086290858795
2,68.29607887350329
3,50.79436442377186
4,59.17212388264182
5,82.15994288937237
6,76.95649568969354
7,90.27982352461986
8,76.23915164067138
9,72.85229277623192
10,36.587525624130265
11,39.406839165923934
12,41.45326176798899
13,33.96522680815812
14,37.62400626604397
15,42.14412151350947
16,34.08453641193963
17,34.24980255175747
18,36.16245416652934
19,35.88114385608267
20,35.51961363940913
21,33.427151439297816
22,36.83098153994626
23,34.67353001312781
24,36.09669699147098
25,35.776449525109456
26,36.9536538474997
27,38.04480554721321
28,36.72045192523047
29,37.03186170380837
30,33.57198748574143
31,35.747262706891114
32,34.312652191106054
33,34.84663425672185
34,42.69338611827394
35,40.232699377205925
36,32.7538213305387
37,31.77786671398601
38,40.928445701941605
39,38.25070013400134
40,32.61316755409308
41,36.56256559496547
42,34.382975069608996
43,34.545062620094676
44,34.79530509588979
45,35.53693254791319
46,34.613714928203116
47,35.65622242550909
48,36.52024351063291
49,39.74853370577787
50,36.977946553193675
51,45.65131632557367
52,56.20696557031208
53,50.9513962988887
54,42.81888557730313
55,36.80433727295949
56,38.053719817344096
57,36.97132676104588
58,38.56121617654201
59,38.95383736693222
60,36.95838853675773
61,38.785728302009694
62,40.92242111689866
63,40.019459442006166
64,37.52587071283281
65,39.71591051576607
66,36.469960308882264
67,33.44249643526829
68,34.45405045987528
69,31.187862748571924
70,31.34314725496298
71,31.316663958378733
72,32.64593199420496
73,31.607134974310778
74,31.87666469695377
75,33.593651159558775
76,32.60011682566167
77,32.71241896897639
78,32.90215116013319
79,44.800692929597325
80,53.306593999913595
81,121.75089352799377
82,69.4940032176378
83,99.90695107106899
84,104.60984380490049
85,100.74725653362543
86,89.87942365597304
87,90.03489180114441
88,101.6463426061561
89,77.96871102923161
90,78.18288981857394
91,88.98896971073164
92,65.55601758663518
93,65.66172111931998
94,77.68849706207772
95,60.47826972884106
96,59.688396198755115
97,44.846582114141626
98,64.33543180780566
99,50.985802496376294
100,108.84352620644978
101,69.3734546748929
102,97.7301233826022
103,88.87727627779073
104,78.53776844898054
105,64.27582427725538
106,51.86099557864517
107,45.42088907386213
108,60.57406276572872
109,53.43164024763245
110,53.61669022908276
111,69.11705152359566
112,66.01685299391353
113,108.71931692994991
114,103.89588450416082
115,94.30997183164264
116,87.38936658812419
117,52.850426345676574
118,92.36892700496233
119,91.365411323999
120,79.09366738259888
121,40.374901329241744
122,68.678092098514
123,54.225877446304196
124,61.607522994714905
125,52.847015886700795
126,60.576840470915734
127,51.1834832864779
128,69.73390956180769
129,61.23617406953353
130,57.90718438258685
131,49.01181038255223
132,72.2083304813705
133,89.29802815852759
134,76.26332696608746
135,63.002612360532446
136,102.08123339633615
137,81.27017530427827
138,88.33680691737412
139,74.83173299389254
140,61.847720262685534
141,48.79612581804304
142,76.39548531180381
143,64.63457220278381
144,54.72723875327852
145,74.6416468033688
146,62.21299614156019
147,51.56493393474409
148,68.88096697301572
149,61.3350763087909
150,49.82562258361475
151,63.00876717521544
152,65.48556298456593
153,50.36529110761992
154,63.13496394464381
155,57.49369214115503
156,78.36250556508689
157,75.4924493954169
158,87.251352885238
159,79.22766465385325
160,64.876409296667
161,58.0300216423403
162,78.14046670024615
163,51.03908720892707
164,66.47250272673705
165,67.61307769606636
166,50.999541148678524
167,39.73388977826006
168,53.18267540752899
169,57.06184793656144
170,52.31012684672524
171,39.070368080312946
172,60.18887003989397
173,37.63820193030006
174,62.13685417164008
175,50.68352512511297
176,41.31453513651806
177,55.35657285723947
178,62.083936957474215
179,52.103832595350156
180,58.36852665617992
181,56.072163397803905
182,48.144300899146906
183,51.18625511889374
184,65.1365819023972
185,59.33519061607526
186,52.678072790501936
187,56.25421925922011
188,54.460204736879874
189,54.9336261181312
190,47.61816500969095
191,59.02964976660005
192,48.34065262024216
193,45.551321696232606
194,51.26788546601945
195,64.77485919853784
196,104.12848033507146
197,91.86344199726413
198,81.31514999048647
199,70.5480718731005
200,53.0779415213017
201,43.94962023053496
202,46.95234463647059
203,50.25115818600374
204,48.91570061043335
205,42.97208793688705
206,44.000760994556494
207,49.21561866616753
208,42.81245463229389
209,42.4255918245262
210,42.46862756698982
211,43.08588246596732
212,42.3399447793199
213,44.225728874942035
214,41.068542333633275
215,43.4199220642776
216,42.37264054399714
217,48.524683064319476
218,44.288482721473905
219,42.54488593960356
220,43.16389571863397
221,41.20165621796597
222,41.15151953400847
223,40.42059683492238
224,42.087762571449815
225,47.711852242723694
226,40.64271192654463
227,40.59990753042345
228,43.829676688392354
229,41.72895629118308
230,40.711665851269544
231,41.8794958368938
232,42.12672674892611
233,42.320901724631796
234,42.1609200755205
235,43.61914529258002
236,41.11640425982262
237,39.69710268948663
238,42.29319599010761
239,42.11246994298808
240,41.92560580682788
241,41.90511018833559
242,42.25368889507498
243,41.2015881104117
244,40.888470064501625
245,41.65545244093311
246,43.57283706412121
247,42.193745828389545
248,39.026428921693785
249,48.515613979074246
250,45.75997761957433
251,38.79541408593511
252,48.64758773795128
253,39.03643905193059
254,37.14916561835913
255,42.53667644382694
256,42.34418255713603
257,51.98420432957984
258,45.25818398601733
259,42.871720470223195
260,42.52278589027192
261,40.386376383529736
262,43.74568655679548
263,45.13695907615706
264,46.658386826850126
265,60.57598999435187
266,89.8410419133366
267,66.554798001083
268,78.7008772714107
269,57.36403544925262
270,79.98735236593693
271,69.78426547170297
272,86.4507596723034
273,80.6807023000761
274,88.90836606853144
275,91.78329407455446
276,42.241977584516064
277,55.899987996362015
278,81.82828043280371
279,85.1532428405486
280,74.24089190296269
281,63.43758404960055
282,70.93894515210613
283,41.881190030269345
284,73.12905118309644
285,65.48787425435336
286,56.32137606833766
287,46.83072366609191
288,45.73262574665997
289,55.29035531909084
290,64.81631930184139
291,87.20095160044427
292,53.18316612422536
293,41.11802121390726
294,79.88904423610646
295,45.164324646903815
296,57.72178063265082
297,68.47215387037447
298,63.215603490318145
299,70.8260176359201
300,76.5354094756363
301,39.48591223512073
302,46.142322088265956
303,47.2143687912894
304,61.860295261376564
305,43.281065229302584
306,54.0017357081227
307,55.83811447273126
308,50.79509766278599
309,37.33178424882186
310,45.8325287455027
311,51.98632796047363
312,43.0186394633034
313,45.47925154045092
314,43.33370609865549
315,39.159101995210605
316,42.5293012880895
317,52.733353288405056
318,51.21812343062677
319,42.029193620044815
320,54.321140163568224
321,49.886444966599704
322,44.552920770868056
323,48.82360975405078
324,43.31402863498436
325,65.56873407648413
326,44.632380906806716
327,39.43726556249642
328,34.14238136886476
329,37.323044391049656
330,41.05311604657085
331,56.06631904779366
332,31.34208001442012
333,44.50532563434253
334,46.643627722933275
335,47.39505394417872
336,47.17161270860844
337,46.421554601170605
338,48.61707242633981
339,46.5522502320309
340,46.171015897987616
341,40.48382496204516
342,39.05331462380627
343,39.54545477798412
344,39.83345687397399
345,39.06080457861669
