,land_use_accessibility
477,36.96875
478,41.03125
479,27.796875
480,25.78125
481,36.53125
482,24.0
483,24.046875
484,25.59375
485,25.5
486,32.625
487,36.9375
488,25.078125
489,30.4375
490,42.125
491,34.4375
492,34.09375
493,38.96875
494,28.078125
495,28.09375
496,27.390625
497,35.1875
498,38.78125
499,28.125
500,42.15625
501,21.21875
502,33.28125
503,22.03125
504,18.859375
505,37.625
506,37.8125
507,30.28125
508,33.28125
509,19.5625
510,23.671875
511,24.53125
512,42.5625
513,59.34375
514,62.625
515,34.375
516,26.625
517,48.1875
518,58.5625
519,34.0625
520,29.5
521,35.25
522,46.75
523,31.40625
524,39.40625
525,31.8125
526,28.21875
527,24.984375
528,33.4375
529,21.390625
530,25.984375
531,25.75
532,29.0625
533,25.03125
534,20.09375
535,26.53125
536,24.28125
537,27.5
538,26.53125
539,24.515625
540,24.71875
541,23.078125
542,25.953125
543,26.6875
544,27.78125
545,27.28125
546,31.84375
547,26.375
548,23.34375
549,27.015625
550,21.359375
551,31.890625
552,32.4375
553,10.96875
554,11.328125
555,12.515625
556,16.828125
557,15.0625
558,14.640625
559,12.984375
560,10.359375
561,12.1015625
562,11.0859375
563,13.53125
564,13.015625
565,13.171875
566,12.4765625
567,12.4609375
568,13.078125
569,14.3359375
570,13.984375
571,15.65625
572,11.28125
573,11.484375
574,10.9765625
575,11.984375
576,11.96875
577,11.921875
578,11.3125
579,12.8046875
580,11.5234375
581,13.21875
582,13.0
583,13.1875
584,11.359375
585,11.2265625
586,10.9375
587,10.921875
588,11.4140625
589,11.9375
590,12.2265625
591,17.09375
592,11.6015625
593,11.421875
594,10.9140625
595,11.609375
596,12.2109375
597,11.6640625
598,18.25
599,13.640625
600,12.9375
601,12.359375
602,14.25
603,14.1953125
604,38.53125
605,12.4296875
606,12.203125
607,19.375
608,15.1328125
609,13.625
610,12.125
611,11.1953125
612,13.0625
613,13.6953125
614,11.6796875
615,13.7109375
616,12.6875
617,11.6640625
618,11.8359375
619,11.7890625
620,12.15625
621,12.46875
622,11.796875
623,13.5390625
624,12.2265625
625,10.71875
626,10.9375
627,11.2265625
628,11.4765625
629,11.3828125
630,11.2734375
631,12.2109375
632,11.84375
633,13.140625
634,12.3046875
635,12.421875
636,12.09375
637,11.671875
638,11.84375
639,11.65625
640,11.7109375
641,11.734375
642,11.9140625
643,11.875
644,11.78125
645,11.84375
646,12.0703125
647,12.1484375
648,10.8359375
649,11.1640625
650,10.9765625
651,11.3359375
652,10.4921875
653,10.6640625
654,10.859375
655,9.9609375
656,10.515625
657,9.9921875
658,11.3671875
659,12.484375
660,10.9140625
661,12.34375
662,10.421875
663,10.0390625
664,12.4375
665,11.1796875
666,11.265625
667,11.2578125
668,11.1328125
669,11.328125
670,10.78125
671,10.6015625
672,10.2109375
673,11.3515625
674,12.078125
675,12.1796875
676,11.5078125
677,12.578125
678,11.921875
679,11.796875
680,12.59375
681,11.875
682,11.671875
683,11.9375
684,11.890625
685,12.078125
686,12.5859375
687,12.7734375
688,12.734375
689,11.0390625
690,12.359375
691,12.15625
692,11.234375
693,11.46875
694,12.3203125
695,11.5078125
696,11.4140625
697,11.8828125
698,11.84375
699,11.609375
700,11.6875
701,11.734375
702,11.0703125
703,11.6171875
704,11.6484375
705,11.28125
706,11.3125
707,11.421875
708,12.3984375
709,12.28125
710,11.515625
711,11.5859375
712,11.921875
713,11.9609375
714,11.71875
715,12.625
716,11.796875
717,11.625
718,11.328125
719,11.984375
720,11.21875
721,11.7734375
722,11.890625
723,11.140625
724,11.546875
725,11.6484375
726,11.59375
727,11.359375
728,11.21875
729,11.15625
730,10.953125
731,11.0859375
732,11.7578125
733,12.265625
734,11.7734375
735,11.4609375
736,11.4765625
737,11.671875
738,11.390625
739,10.6484375
740,11.390625
741,11.28125
742,11.8359375
743,12.0234375
744,11.5625
745,10.796875
746,11.734375
747,11.4375
748,11.7109375
749,11.34375
750,11.484375
751,11.453125
752,11.46875
753,11.4140625
754,10.6640625
755,11.0625
756,10.6953125
757,10.625
758,13.140625
759,12.8671875
760,11.296875
761,15.1875
762,12.28125
763,11.8125
764,11.75
765,12.0234375
766,11.703125
767,12.625
768,12.3359375
769,11.578125
770,11.109375
771,11.90625
772,12.15625
773,11.5625
774,11.6875
775,12.4375
776,11.84375
777,12.03125
778,12.75
779,12.8125
780,12.109375
781,12.203125
782,12.078125
783,11.828125
784,11.84375
785,11.8984375
786,11.765625
787,11.7265625
788,11.75
789,11.796875
790,11.796875
791,10.8203125
792,11.78125
793,11.9140625
794,12.1171875
795,14.5625
796,13.5
797,12.234375
798,12.2578125
799,12.09375
800,12.671875
801,11.453125
802,12.25
803,12.15625
804,11.953125
805,11.9765625
806,11.828125
807,12.28125
808,11.828125
809,11.671875
810,11.234375
811,11.734375
812,11.9375
813,12.125
814,12.09375
815,11.9765625
816,11.9921875
817,12.0078125
818,11.875
819,11.9609375
820,12.4921875
821,12.828125
822,11.453125
823,10.96875
824,11.6171875
825,11.96875
826,11.375
827,12.0390625
828,12.625
829,11.8828125
830,12.140625
831,12.203125
832,12.078125
833,11.875
834,11.6796875
835,11.6171875
836,12.2265625
837,12.5
838,11.734375
839,12.4453125
840,12.296875
841,11.921875
842,11.609375
843,11.875
844,11.3984375
845,12.1328125
846,11.59375
847,11.453125
848,11.65625
849,19.859375
850,45.375
851,11.921875
852,14.65625
853,11.4765625
854,12.640625
855,13.7265625
856,12.5390625
857,14.609375
858,12.484375
859,13.484375
860,12.484375
861,26.765625
862,27.421875
863,27.8125
864,27.84375
865,19.5
866,15.0
867,17.859375
868,14.2421875
869,21.546875
870,20.25
871,20.71875
872,12.2109375
873,12.5703125
874,14.3359375
875,12.078125
876,12.2109375
877,11.078125
878,12.0390625
879,11.8828125
880,11.796875
881,11.9375
882,11.78125
883,11.3125
884,11.984375
885,11.9453125
886,12.03125
887,11.984375
888,11.75
889,11.3203125
890,14.421875
891,14.0859375
892,12.203125
893,12.4609375
894,12.234375
895,11.6796875
896,11.796875
897,11.53125
898,11.84375
899,12.546875
900,12.65625
901,13.5390625
902,12.234375
903,12.2421875
904,11.375
905,11.8828125
906,12.1953125
907,11.3515625
908,12.1171875
909,12.109375
910,11.8046875
911,12.7578125
912,12.453125
913,12.171875
914,12.28125
915,12.2265625
916,11.921875
917,12.1796875
918,12.203125
919,13.78125
920,12.6015625
921,13.859375
922,12.7421875
923,14.1328125
924,13.8125
925,13.0546875
926,14.515625
927,13.75
928,13.2734375
929,14.21875
930,15.84375
931,12.0703125
932,12.78125
933,13.109375
934,11.7265625
935,12.234375
936,11.7890625
937,11.9140625
938,12.7734375
939,11.890625
940,15.1875
941,17.015625
942,20.765625
943,14.765625
944,15.578125
945,16.109375
946,14.75
947,11.8359375
948,12.328125
949,11.0546875
950,11.90625
951,12.1640625
952,12.25
953,12.0625
954,12.1328125
955,12.0859375
956,12.15625
957,11.59375
958,11.765625
959,11.2578125
960,11.484375
961,11.0703125
962,10.9921875
963,11.78125
964,12.3203125
965,11.71875
966,12.796875
967,12.1328125
968,12.2734375
969,12.265625
970,11.8828125
971,11.6484375
972,11.71875
973,11.703125
974,12.5
975,11.9453125
976,12.0859375
977,12.203125
978,12.9453125
979,13.6171875
980,13.8046875
981,14.765625
982,15.265625
983,11.484375
984,13.1875
985,13.3203125
986,10.65625
987,11.921875
988,11.59375
989,11.234375
990,11.5
991,12.109375
992,12.875
993,13.078125
994,10.609375
995,11.015625
996,11.46875
997,12.40625
998,11.234375
999,10.8359375
1000,12.2421875
1001,11.25
1002,11.390625
1003,11.328125
1004,11.28125
1005,13.6328125
1006,11.8125
1007,11.984375
1008,12.671875
1009,12.15625
1010,10.515625
1011,13.046875
1012,12.296875
1013,12.34375
1014,12.0859375
1015,12.5
1016,13.3125
1017,12.9765625
1018,11.734375
1019,12.6953125
1020,11.890625
1021,12.765625
1022,13.03125
1023,13.109375
1024,12.984375
1025,12.40625
1026,12.09375
1027,13.28125
1028,12.90625
1029,13.765625
1030,13.34375
1031,13.140625
1032,13.2578125
1033,12.6875
1034,13.359375
1035,13.0234375
1036,13.2890625
1037,13.640625
1038,13.171875
1039,13.15625
1040,13.0078125
1041,13.40625
1042,13.2265625
1043,13.59375
1044,13.2421875
1045,12.921875
1046,12.4140625
1047,13.21875
1048,13.0234375
1049,13.265625
1050,12.734375
1051,13.375
1052,13.203125
1053,12.5859375
1054,12.984375
1055,14.390625
1056,14.1640625
1057,11.84375
1058,11.640625
1059,12.4375
1060,16.140625
1061,13.96875
1062,13.984375
1063,12.8515625
1064,13.53125
1065,16.203125
1066,12.65625
1067,16.1875
1068,13.5
1069,13.75
1070,13.953125
1071,14.375
1072,12.828125
1073,12.9765625
1074,12.453125
1075,12.734375
1076,12.25
1077,12.9375
1078,12.5625
1079,12.234375
1080,12.640625
1081,13.1171875
1082,13.671875
1083,14.0859375
1084,13.375
1085,13.2734375
1086,13.4921875
1087,12.46875
1088,13.5234375
1089,12.7578125
1090,12.9375
1091,13.1875
1092,12.8046875
1093,12.609375
1094,13.71875
1095,13.09375
1096,13.0546875
1097,12.765625
1098,12.09375
1099,11.90625
1100,11.03125
1101,12.421875
1102,11.734375
1103,12.8671875
1104,12.9375
1105,11.96875
1106,10.9609375
1107,11.390625
1108,12.203125
1109,10.5625
1110,20.3125
1111,13.3515625
1112,13.3046875
1113,16.125
1114,15.578125
1115,13.9453125
1116,13.96875
1117,19.15625
1118,18.28125
1119,15.9921875
1120,14.2890625
1121,12.40625
1122,12.0078125
1123,11.9453125
1124,12.3984375
1125,12.0546875
1126,10.6171875
1127,12.3984375
1128,11.84375
1129,11.6875
1130,12.375
1131,11.984375
1132,12.1796875
1133,11.671875
1134,13.078125
1135,11.4375
1136,11.875
1137,11.734375
1138,12.28125
1139,12.40625
1140,12.0625
1141,11.5
1142,13.1171875
1143,13.046875
1144,11.0234375
1145,12.140625
1146,11.375
1147,11.8046875
1148,13.953125
1149,14.0859375
1150,13.6328125
1151,13.953125
1152,13.828125
1153,13.2421875
1154,13.21875
1155,13.40625
1156,12.890625
1157,12.4765625
1158,13.078125
1159,13.515625
1160,14.2265625
1161,14.21875
1162,14.265625
1163,14.1953125
1164,14.265625
1165,13.015625
1166,12.859375
1167,13.2734375
1168,13.3046875
1169,13.265625
1170,12.28125
1171,12.9375
1172,13.015625
1173,14.25
1174,11.34375
1175,15.15625
1176,11.515625
1177,12.4375
1178,11.8359375
1179,11.921875
1180,10.984375
1181,11.3984375
1182,11.1796875
1183,11.96875
1184,12.6953125
1185,12.1875
1186,11.109375
1187,13.8125
1188,12.25
1189,16.625
1190,15.109375
1191,15.5390625
1192,34.65625
1193,17.8125
1194,16.3125
1195,14.5078125
1196,16.65625
1197,17.59375
1198,19.25
1199,17.421875
1200,20.25
1201,20.65625
1202,17.21875
1203,19.390625
1204,17.0625
1205,17.671875
1206,16.15625
1207,16.203125
1208,18.265625
1209,18.453125
1210,17.34375
1211,19.3125
1212,19.640625
1213,16.328125
1214,18.484375
1215,19.375
1216,17.140625
1217,23.625
1218,17.578125
1219,17.9375
1220,19.875
1221,18.34375
1222,17.875
1223,16.6875
1224,16.4375
1225,26.65625
1226,26.546875
1227,19.75
1228,28.78125
1229,20.078125
1230,19.21875
1231,24.453125
1232,16.90625
1233,15.75
1234,12.96875
1235,16.75
1236,13.0078125
1237,14.0078125
1238,15.6875
1239,14.0
1240,15.484375
1241,14.578125
1242,13.9375
1243,13.8125
1244,15.625
1245,15.375
1246,15.078125
1247,15.171875
1248,16.21875
1249,17.5625
1250,16.15625
1251,16.5
1252,17.53125
1253,17.203125
1254,15.7734375
1255,16.625
1256,15.5703125
1257,17.015625
1258,16.421875
1259,16.03125
1260,15.3828125
1261,15.296875
1262,15.0
1263,15.9765625
1264,15.8359375
1265,16.28125
1266,15.4609375
1267,15.40625
1268,15.71875
1269,16.03125
1270,15.765625
1271,15.6953125
1272,15.671875
1273,15.796875
1274,15.609375
1275,15.703125
1276,15.5703125
1277,15.421875
1278,15.21875
1279,14.4375
1280,15.0859375
1281,14.1875
1282,15.8046875
