,connectivity
0,0.05103913203258285
1,0.04900093929183938
2,0.01606724333546567
3,0.022383834292135918
4,0.01883919040867426
5,0.013131977414986597
6,0.01409868433648992
7,0.0118624236877773
8,0.014193720811919988
9,0.014967494984075796
10,0.03801741909112722
11,0.03451254440884642
12,0.033913722111340854
13,0.03765616028805216
14,0.032221798228909804
15,0.028125734944474675
16,0.036373404611945236
17,0.0361545342085372
18,0.03395280432751121
19,0.03407457244304223
20,0.0345450559740891
21,0.037482036021039604
22,0.032648215736974524
23,0.035190760707015545
24,0.03349534727925051
25,0.03386961997390758
26,0.032530299071540564
27,0.03140306762823068
28,0.03280252670951969
29,0.032465790163154394
30,0.03669016229767551
31,0.03385175986046273
32,0.035638072038814916
33,0.034965328312473815
34,0.027364319868088745
35,0.029249507299377985
36,0.03912503582004012
37,0.04067907602149065
38,0.032406389254702746
39,0.0354869142139208
40,0.04451319634648921
41,0.03769365080026969
42,0.04114066537505719
43,0.04459454608891861
44,0.0442476897712748
45,0.041544403172027004
46,0.043137276520056084
47,0.041606397643895524
48,0.03977311433723488
49,0.03504391618543957
50,0.03698372382634478
51,0.03077108360477028
52,0.023203177478585805
53,0.026452143934035936
54,0.03367980926629011
55,0.04131945993291956
56,0.0392161497341723
57,0.040874492477728425
58,0.0383149372846197
59,0.03774891779878812
60,0.04143809853656855
61,0.038122106965387564
62,0.03523790871163144
63,0.03603163021395911
64,0.039207905894684245
65,0.03610870518643896
66,0.04132213036338928
67,0.04924614477833796
68,0.0469171303526955
69,0.047271613508251625
70,0.04678751680837401
71,0.05205682276723445
72,0.04867207508760803
73,0.053056366621306805
74,0.05252628352960259
75,0.04806505533658548
76,0.05053958970514974
77,0.05042525340640337
78,0.04994923029932687
79,0.02817807056363128
80,0.02102991249623354
81,0.008539921749526816
82,0.01581202566607157
83,0.010552187285222952
84,0.010214674788717192
85,0.010458014469292388
86,0.011819144864958839
87,0.01179750154565884
88,0.01032674221426966
89,0.013785414839262012
90,0.013744209761941588
91,0.011888663148527472
92,0.01667703000967118
93,0.016647468031398674
94,0.013744683938962663
95,0.018032345740293058
96,0.018728770686513213
97,0.025654292399471576
98,0.017223172151894575
99,0.022491053349244592
100,0.009631737704455443
101,0.015528474240209877
102,0.010803476412852174
103,0.012120399494551822
104,0.013826282848919758
105,0.01687093417430574
106,0.021460299787970823
107,0.025648795330256713
108,0.01803750483201514
109,0.020781442947707653
110,0.020695050678969512
111,0.015644384352082676
112,0.01644892803117104
113,0.010353481436333854
114,0.010806919159014047
115,0.012064986639614214
116,0.013172079075486308
117,0.0215108591911978
118,0.012356173255283959
119,0.012512472186975314
120,0.013677334205419217
121,0.03004012737809749
122,0.01598771354362623
123,0.020883345503282223
124,0.018309525864971157
125,0.022573208316602887
126,0.019210409546872382
127,0.023246900593569965
128,0.01632822991022725
129,0.018829318929777784
130,0.020989675229486495
131,0.025449556833612396
132,0.016489649182311068
133,0.01198051959032312
134,0.01423621591579657
135,0.01760942798714358
136,0.010369419263629779
137,0.014334554673729539
138,0.012122334285539091
139,0.014537349560081915
140,0.01797949597823454
141,0.023963501148107882
142,0.014400231331841219
143,0.017340445890187187
144,0.020989876906747564
145,0.014577781850888484
146,0.018102063447682667
147,0.022432440781579015
148,0.015935598163039095
149,0.01839467218035289
150,0.023344395645046284
151,0.017606938320103144
152,0.016861091974135916
153,0.02306175236732569
154,0.017567441689032747
155,0.019531785234109245
156,0.01496207029794122
157,0.014396699409038071
158,0.012286329443143527
159,0.0136520975340878
160,0.01811691834082964
161,0.020689497324076055
162,0.015012303326594107
163,0.02368296782972591
164,0.016580963189102956
165,0.016268699658346385
166,0.022846475404942675
167,0.030775082589228064
168,0.021355135104971668
169,0.019699989681974093
170,0.022173231074462483
171,0.0314162208842775
172,0.018541564859015456
173,0.03291159121549877
174,0.01788645067791302
175,0.023012922734417417
176,0.02932852311423573
177,0.02039509109302685
178,0.01790241454909912
179,0.02217204206855382
180,0.01919868571497205
181,0.020376463685807714
182,0.02443191810744344
183,0.022321463163463524
184,0.01665769953778671
185,0.018924186450708712
186,0.02165695392907361
187,0.020098203226274376
188,0.020875509357363615
189,0.020141642436980148
190,0.02364162605080933
191,0.018613171596565982
192,0.02318394330801363
193,0.024861216420822823
194,0.02174970351194191
195,0.016804946043125112
196,0.010096417116859449
197,0.011545014122101701
198,0.013169924398934807
199,0.015379499523262737
200,0.02113324000582054
201,0.026715921973658303
202,0.025081841966905372
203,0.023213056281548985
204,0.023911303861296487
205,0.027849390364325956
206,0.02709470703145187
207,0.02373344562200479
208,0.02793155073786692
209,0.028302291150707995
210,0.028268654881590284
211,0.027784240130009692
212,0.02836889870745677
213,0.026883051383849946
214,0.029434984698285906
215,0.02752832415929052
216,0.028359105569146146
217,0.02413781419010002
218,0.02688995361569166
219,0.02821275758116156
220,0.02772056355614698
221,0.029318180953963754
222,0.029361106077165643
223,0.030005282378317868
224,0.02856952290692803
225,0.024620061446843727
226,0.029807419084621235
227,0.02983680266899524
228,0.027216630650396326
229,0.02884856539067948
230,0.029737472739080742
231,0.02875660147220934
232,0.02855786714530377
233,0.028400493940475363
234,0.028529230370074432
235,0.027381932754325117
236,0.02940100433392948
237,0.03068244157532633
238,0.028412412655437282
239,0.02855852048770768
240,0.028708751238753747
241,0.028723803379394737
242,0.02844129664468559
243,0.029321401231538223
244,0.029591052788305178
245,0.028935656730815187
246,0.02741148991732865
247,0.02848897082636534
248,0.03245368203280206
249,0.02584349671943238
250,0.027825980624224856
251,0.03748298463755848
252,0.026126864553001623
253,0.03252175139625594
254,0.036603732591011545
255,0.032865244149282206
256,0.030754192415020167
257,0.02371524910492449
258,0.028214953029611578
259,0.029162215938608765
260,0.030007367226237033
261,0.03206860575563603
262,0.027248842352457888
263,0.028241486340945404
264,0.026652150917967243
265,0.018232290469743128
266,0.01187787121202098
267,0.016231995478343055
268,0.01354001888983043
269,0.01910649107874445
270,0.013306375145731365
271,0.015417044872713987
272,0.012244391599319025
273,0.013183567130962815
274,0.011883849227652253
275,0.011608670402841375
276,0.02745676651703966
277,0.019954603095268416
278,0.013122041028403125
279,0.012580986404544865
280,0.014592289394739286
281,0.017335776379171434
282,0.015322585358953587
283,0.030839066503678007
284,0.014738655698134628
285,0.016612973498801448
286,0.019889331904212486
287,0.02424525606637775
288,0.025128150268915225
289,0.020247565853210553
290,0.01696245468999151
291,0.012253596114284752
292,0.021161764260703726
293,0.028502978229815266
294,0.013466278311167276
295,0.025274891830821437
296,0.019147095863592135
297,0.015855722026469954
298,0.01739125012016259
299,0.015394772340666186
300,0.0140447758667135
301,0.029949583238268983
302,0.024958595774317336
303,0.024306209430580053
304,0.017869353122791202
305,0.026784872244525578
306,0.020791231744698293
307,0.020127736309946746
308,0.022291727024645783
309,0.03195779596976332
310,0.025129041516254832
311,0.021638071264553204
312,0.027937736481060575
313,0.026174847188413588
314,0.027575879058462305
315,0.031075581123111314
316,0.03007542260291732
317,0.021993258154911755
318,0.022752381677312895
319,0.03128798447058779
320,0.02120886244109683
321,0.02455960339478356
322,0.028497540284747113
323,0.02528236071574203
324,0.029377143241365398
325,0.01680639943869252
326,0.026037721043856907
327,0.03457232533784127
328,0.04267925718646655
329,0.037651633341252114
330,0.03343708655097455
331,0.021310406610076073
332,0.05282046906012775
333,0.028529236579769583
334,0.028562350919965188
335,0.027962569513349488
336,0.028138426839703794
337,0.028744921824413905
338,0.027038757643020408
339,0.02863726121232063
340,0.028951990173216716
341,0.035255455255983795
342,0.03712717861612515
343,0.03646095716132399
344,0.036072477961433834
345,0.03711579529508476
346,0.036475009976418366
347,0.036446352702270764
348,0.03605405192039842
349,0.03719669684636732
350,0.03753904350361351
351,0.03665017173127057
352,0.03853642326618326
353,0.0374827595377683
354,0.03567978487380684
355,0.03564641698056583
356,0.03531794456040346
357,0.03185494954493103
358,0.03513350602285707
359,0.03604081456167475
360,0.03459698245114838
361,0.034180146337141566
362,0.032318131608016415
363,0.03475902981435681
364,0.031506543000504726
365,0.025446263812788868
366,0.031049679676995397
367,0.031594771599464826
368,0.026966881155062756
369,0.030668582205146684
370,0.031122886987794775
371,0.032255669095894675
372,0.03198894522657026
373,0.03206962773423842
374,0.02583167276990651
375,0.04075755277749684
376,0.04843691522495873
377,0.05219505488570535
378,0.029779591896084964
379,0.04617632272695085
380,0.055932113523772864
381,0.05307699752456905
382,0.05398945147809675
383,0.053569235453571076
384,0.05371247992907291
385,0.0417302922930433
386,0.041067635706459396
387,0.03671212080895956
388,0.03618364319723311
389,0.03877660451765548
390,0.026917213836719515
391,0.05032868947831771
392,0.03523693296845056
393,0.041959666098094706
394,0.041810547392578605
395,0.026285043683403515
396,0.02555532310603084
397,0.03232938521026575
398,0.03141585944595489
399,0.03096211527524905
400,0.016568778120242846
401,0.025450063337788854
402,0.026804172200937223
403,0.02825678943785218
404,0.02822968016865614
405,0.019990472375417387
406,0.014840865369917673
407,0.021392528381349498
408,0.026227072921635734
409,0.017316445113704566
410,0.01895274076713254
411,0.025544550364696633
412,0.017318457418973497
413,0.03242672493343803
414,0.025099259959411323
415,0.02485285144528114
416,0.021857311139837965
417,0.021853072963341182
418,0.017361348429144472
419,0.02367686940455759
420,0.020448343408360933
421,0.02321027136673245
422,0.02483286337851758
423,0.029852367751781135
424,0.028245688703082153
425,0.023102781130883886
426,0.027547477532765593
427,0.023852455876496134
428,0.0194649803511692
429,0.028002353041964755
430,0.025961634926195073
431,0.01818136169066467
432,0.018507790994636324
433,0.018778586691862952
434,0.018867934034494237
435,0.02510266569311612
436,0.039978874688256005
437,0.014116300950162152
438,0.01729221980718552
439,0.018002252891190906
440,0.021520389794364953
441,0.02440076438551763
442,0.02393349922980118
443,0.02150933952549549
444,0.015537740830122581
445,0.017571828125288024
446,0.01677009045564576
447,0.017439317403573136
448,0.014962126660283289
449,0.03690403857535184
450,0.03688799737141498
451,0.03896388619817473
452,0.04015159776842987
453,0.03684733895752465
454,0.03204030852290492
455,0.03468968496506173
456,0.03330745376634734
457,0.032265167529778115
458,0.029228811135634712
459,0.015202586128405669
460,0.03544118696826863
461,0.03756486410422049
462,0.038164031495109246
463,0.0355332677413371
464,0.026703865838500207
465,0.020291479473516363
466,0.024646139060807832
467,0.014508336825597332
468,0.014319919625255815
469,0.025519734950824102
470,0.021901563773190687
471,0.01592796639416856
472,0.018848727999906816
473,0.020510440377801337
474,0.030707956723222612
475,0.030249735950629086
476,0.02990562770286211
477,0.023978641095693937
478,0.021860103476582345
479,0.03261118301189051
480,0.03275719012725801
481,0.024236764819412785
482,0.036803165804548746
483,0.036271570767225966
484,0.03433865434193175
485,0.03444817077537689
486,0.026775920506534587
487,0.02507688971339946
488,0.0356749073982592
489,0.02995812623202257
490,0.021326507393100824
491,0.026740754311567163
492,0.026991070760232775
493,0.0238997694665639
494,0.032323403703336986
495,0.03167085430626556
496,0.03281034379931951
497,0.0258663297339353
498,0.02366239208384378
499,0.03197991300752195
500,0.02191773675020959
501,0.04112692390238882
502,0.026705552498215684
503,0.03567620129241579
504,0.040172225790699526
505,0.024684192357866553
506,0.023515244937311577
507,0.02877409137539024
508,0.026494044641187736
509,0.03992696161204742
510,0.0356025625468088
511,0.03538566328815725
512,0.022048067148099034
513,0.015998302914400315
514,0.01519941638471389
515,0.026904909111361265
516,0.03356330345236853
517,0.018850225686553302
518,0.016217408696342906
519,0.026890524594186383
520,0.03059441946883651
521,0.026051735568285186
522,0.020057244985784393
523,0.028830699486281596
524,0.02351070005731845
525,0.028500164492602835
526,0.03130998592839816
527,0.03338432683641083
528,0.02718765553660264
529,0.04038767820228735
530,0.03408739967457914
531,0.034360236163708154
532,0.03085811780125081
533,0.03410465966309315
534,0.04078944911588421
535,0.03356681466366217
536,0.03670492429917403
537,0.03223153629542788
538,0.03327879835588944
539,0.035661357494280316
540,0.03579732881496932
541,0.03813639057969586
542,0.03395463380938263
543,0.03309498047553456
544,0.032185826788281906
545,0.03245834736612715
546,0.028277269204362014
547,0.03382547526267602
548,0.03753036123960545
549,0.033109541475086254
550,0.03841300471524381
551,0.026390992688475667
552,0.026001110292162365
553,0.05567302293063214
554,0.05397482242875582
555,0.049195970435951204
556,0.04180788014045154
557,0.045987734861439374
558,0.0472375322000571
559,0.04773934504089488
560,0.053219751953533415
561,0.052359737506229284
562,0.055832351301829806
563,0.04965583447625818
564,0.0508721972469778
565,0.0489054644968797
566,0.05213184657553643
567,0.051991664483356834
568,0.05019669358693121
569,0.047401543935175844
570,0.04788222474876326
571,0.04506072679983392
572,0.05595050374747827
573,0.053527838941939805
574,0.056869401739291156
575,0.05280486037412642
576,0.0534218317189069
577,0.0537701667097925
578,0.05573737030107161
579,0.049968586642918575
580,0.05328355345104021
581,0.04961601830620304
582,0.05014739923398884
583,0.04910647676146472
584,0.05393436152156606
585,0.05499483133256166
586,0.05732806190303999
587,0.05726904198267493
588,0.0558837991151547
589,0.05430514597314967
590,0.05359261727678261
591,0.04293181464397345
592,0.05498621432696875
593,0.055543390042281954
594,0.05737009801615066
595,0.05468627685157129
596,0.05237371856019025
597,0.054348373689021505
598,0.039297553826813374
599,0.04796410450028502
600,0.04957928043620931
601,0.05111144343462723
602,0.04715819711066455
603,0.04728902236389911
604,0.02400019043119849
605,0.052354728530075646
606,0.053600479685689324
607,0.039271332694151485
608,0.04710461272797025
609,0.05064373984421502
610,0.05332144904633987
611,0.05595170391938758
612,0.050463188172228265
613,0.04884078044192649
614,0.054708200772735804
615,0.050033209909531626
616,0.052822177318929533
617,0.05409168104966056
618,0.05327099850506554
619,0.05375254787064604
620,0.052801797175426934
621,0.0522114645576324
622,0.05394292948192099
623,0.048862337952823416
624,0.05304647313316255
