,site_area,fsi,gsi,mxi,build_floor_area,footprint_area,living_area,non_living_area
0,625165.1973109213,0.8427043217185864,0.15013914760038408,0.6991439330493543,526829.4135619662,93861.76983368765,368329.5882437978,158499.82531816832
1,40333.30908548645,0.09307989446453695,0.09307989446453695,0.40349237755937967,3754.220153082628,3754.220153082628,1514.7992154486478,2239.42093763398
2,82921.21990264248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,148686.36047449117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,543631.5152714142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1088621.2409966164,5.702212159676505e-05,5.702212159676505e-05,0.0,62.07549277693033,62.07549277693033,0.0,62.07549277693033
6,41637.11785762454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,644469.2307642206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1973017.3891882338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1873688.6243260442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,536130.8225517218,0.023837259257152323,0.023837259257152323,0.0,12779.88941291572,12779.88941291572,0.0,12779.88941291572
11,549758.6665435368,0.06513785154906902,0.05502262479563874,0.0,35810.098409127044,30249.164837375698,0.0,35810.098409127044
12,512187.2013250025,0.02451014916320904,0.01770345906939338,0.0,12553.784703962388,9067.48515452433,0.0,12553.784703962388
13,1022900.2605016343,0.005150637780331543,0.005150637780331543,0.0,5268.588727250695,5268.588727250695,0.0,5268.588727250695
14,457578.2755145795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,347163.4621421734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,34479.08520060785,0.10991212237715829,0.10991212237715829,0.0,3789.6694320216775,3789.6694320216775,0.0,3789.6694320216775
17,145159.36082595342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,164462.83871351526,0.2255717581838282,0.2255717581838282,0.0,37098.171684511006,37098.171684511006,0.0,37098.171684511006
19,196541.26817682877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,215391.90087760618,0.05745289250344836,0.05745289250344836,0.0,12374.887727234513,12374.887727234513,0.0,12374.887727234513
21,111236.47982190385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,317869.45881109923,0.0029763370637937445,0.0029763370637937445,0.0,946.0866517075337,946.0866517075337,0.0,946.0866517075337
23,203241.08977964782,0.010728453337060675,0.009815302014993015,0.0,2180.462547874311,1994.8726780435536,0.0,2180.462547874311
24,313065.5145645569,0.015517278101244454,0.013709392267589897,0.0,4857.9246534074255,4291.937944620388,0.0,4857.9246534074255
25,206370.35058284667,0.006352249988791995,0.006352249988791995,0.0,1310.916057176888,1310.916057176888,0.0,1310.916057176888
26,291046.67412979406,0.0012015775523194318,0.0012015775523194318,0.0,349.71515031158924,349.71515031158924,0.0,349.71515031158924
27,97997.17737136365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,35816.77953545192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,242358.33403274618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,136320.27746030712,0.13975917906507557,0.13975917906507557,0.0,19052.010067775846,19052.010067775846,0.0,19052.010067775846
31,438435.409598299,0.014222875625456233,0.013935215343144692,0.0,6235.812300512567,6109.691846812144,0.0,6235.812300512567
32,349377.81726230594,0.021008602012250306,0.019522000986329894,0.0,7339.9395147725,6820.5540931965215,0.0,7339.9395147725
33,357409.81084725965,0.007867337468450804,0.007867337468450804,0.0,2811.8635964705604,2811.8635964705604,0.0,2811.8635964705604
